doi,title,authors,editors,year,publication_date,journal_name,publisher,work_type,language,is_open_access,abstract,subjects,source_url,citation_count,relation,source_db,relevance_score
10.1093/fmls/cqm123,Weakness as a Form of Engagement: Maurice Blanchot on the Figure of the Last Man,Daniel Just,,2008,2008-01-01,Forum for Modern Language Studies,Oxford University Press (OUP),article,en,False,"Against the background of the literary and philosophical debates in France in the mid- and the late 1950s, this article examines Maurice Blanchot's narrative Le Dernier homme (1957), as well as his critical essays from this period, asking whether the emphasis Blanchot puts in these texts on exhaustion, weakness and suspended deixis is, at the height of the war in Algeria, a sign of an apolitical withdrawal. I argue that instead of positing stylistic asceticism, slowness and silence as autonomous aesthetic categories, these texts propose them as historically conditioned literary devices – devices capable of undermining the drive for mastery that Blanchot identifies as the cause of the present Western ego- and ethnocentrism.","Aesthetics | Anatomy | Art | Asceticism | Deixis | History | Id, ego and super-ego | Linguistics | Literature | Mathematical analysis | Mathematics | Medicine | Narrative | Period (music) | Philosophy | Physics | Psychoanalysis | Psychology | Quantum mechanics | Sign (mathematics) | Silence | Slowness | Theology | Weakness",https://openalex.org/W2158171757,2.0,,"Crossref, OpenAlex",15
10.4000/narratologie.6572,Maurice Blanchot : une phénoménologie du récit,Maxime Decout,,2012,2012-01-01,Cahiers de narratologie,,article,fr,False,"Les récits de Maurice Blanchot, et tout particulièrement L’Attente l’oubli, dérangent les codes traditionnels du récit en l’évidant de ses personnages comme de son histoire. C’est pourquoi ils semblent proposer une nouvelle poétique du récit où le centre de gravité du texte se déporte peu à peu vers l’événement qu’est en lui-même le récit. Pour ce faire, ils tentent de saisir l’instant premier d’un dit essentiel en convoquant les forces de l’attente et de l’oubli, associées dans une perception renouvelée d’un réel soumis au Neutre et à l’absence de sens. Les contenus s’évident peu à peu pour laisser résonner dans leur nudité les formes et apparences qui les portent : l’énonciation, le dire, l’acte de penser, d’oublier ou d’attendre sont les seuls événements que le récit peut prendre en charge devant un énoncé, un dit, une pensée, un oubli ou une attente vidés de toute substance.",Art | Humanities | Philosophy,https://openalex.org/W2055013959,2.0,,OpenAlex,15
10.3406/caief.1998.1329,Maurice Blanchot : la folie du commencement,Andrea Del Lungo,,1998,1998-01-01,Cahiers de l Association internationale des études francaises,,article,fr,False,"Del Lungo Andrea. Maurice Blanchot : la folie du commencement. In: Cahiers de l'Association internationale des études francaises, 1998, n°50. pp. 343-375.",Philosophy | Psychoanalysis | Psychology,https://openalex.org/W2017724071,2.0,,OpenAlex,15
10.3366/para.2016.0203,The Uses of Maurice Blanchot in Bernard Stiegler's <i>Technics and Time</i>,Calum Watt,,2016,2016-09-19,Paragraph,Edinburgh University Press,article,en,False,"This article argues that Maurice Blanchot is a significant presence in Bernard Stiegler's Technics and Time series. The article first sets out Stiegler's invocation of the Blanchotian ‘change of epoch’ in the first volume, which attempts to situate Blanchot within the horizon of technics. I argue Blanchot's disaster is a hidden element in Stiegler's play on the motifs of the star and catastrophe. The article then traces how these motifs emerge in the second and third volumes, in which the technical forms of photography and cinema become more important and where the motifs are woven together through reference to works by Roland Barthes, D. W. Winnicott and Federico Fellini. Stiegler filters these references to apparently disparate figures through Blanchot's analyses of writing and temporality. Tracing both overt and unacknowledged references to Blanchot in Stiegler's text, I conclude that Stiegler's use of Blanchot destabilizes his conceptions of time and epochality.",Art | Art history | Epistemology | Invocation | Literature | Philosophy | Temporality | Theology,https://openalex.org/W2521412576,2.0,,"Crossref, OpenAlex",15
10.4000/books.puv.991,"Maurice Blanchot, le principe de fiction",Marie-Laure Hurault,,1999,1999-01-01,Presses universitaires de Vincennes eBooks,Presses universitaires de Vincennes,book,fr,False,"La fiction se définit-elle comme une image du réel, ou bien la feinte dont elle procède met-elle en péril la distinction entre la réalité et son image ? C’est cette question que les textes fictionnels de Maurice Blanchot - romans ou récits - permettent d’éprouver. Le part-pris initial de ce livre suppose de prendre la fiction au sérieux - donc de séparer, chez Blanchot, le versant fictionnel et le champ critique et théorique qui trop souvent lui sert de commentaire. Ainsi libérée de toute référence à la question de l’écriture, la fiction peut décliner le mouvement selon lequel elle ne cesse d’apparaître, sans pour autant donner lieu à une pensée de l’être. Ce geste du déclin - des figures ou des voix, du reflet et de la mort - rend à la fiction sa pleine réalité : soit une constante inquiétude sur la pensée du réel. Ainsi s’ouvrent des voies insoupçonnées, que l’on explore ici - à travers le texte blanchotien - sur tous les textes qui, de Poe à Beckett ou de Bousquet à Melville, ont mis en jeu un principe de fiction irréductible au partage assuré du réel et du feindre.",Art | Humanities | Philosophy,https://openalex.org/W658314197,5.0,,"Crossref, OpenAlex",15
10.1353/lit.2016.0042,Maurice Blanchot and the Fragmentary Imperative of Terror,Christopher Langlois,,2016,2016-01-01,College literature,,article,en,False,"This article revisits Maurice Blanchot’s reading of German Romanticism and the Marquis de Sade in order to develop the concept of the fragmentary imperative of terror. For Blanchot, the romantic theory of literature originally formulated through the fragmentary collections of writings of Friedrich Schlegel and Novalis, as well as the scandalous and virtually unreadable publications attached to the name of the Marquis de Sade, places the historical phenomenon of terror at the heart of the aesthetic project of modern literature through which many notable writers of twentieth-century European modernism continued to work. Terror is a fascinating concept for Blanchot precisely because of its historical trajectory out of the space of revolutionary politics and into the space of modern literature. Accordingly, this article provides an historical foundation for Blanchot’s more widely discussed theory of the fragmentary imperative of literature by grounding it in Blanchot’s articulation of the political-cum-literary imperatives of terror.",Aesthetics | Art | Epistemology | History | Literature | Philosophy | Psychoanalysis | Psychology,https://openalex.org/W2528292949,1.0,,OpenAlex,15
10.1111/gequ.10207,"A Same Other, Another Same: Walter Benjamin and Maurice Blanchot on Translation",Vivian Liska,,2014,2014-04-01,The German Quarterly,,article,en,False,"Even though Walter Benjamin and Maurice Blanchot count among the most important literary critics of the past century and shared many concerns, they have rarely been considered together. There is, however, evidence that Blanchot read parts of Benjamin's writings and was inspired by them. Blanchot's most extensive references to Benjamin appear in a text entitled “Translating.” This essay was composed on the basis of notes that Blanchot took while reading Benjamin's essay “Die Aufgabe des Übersetzers” and that have remained unpublished. These notes, which consist mainly of translations of passages from Benjamin's essay are a rich source of insight into Blanchot's reading process, which resulted in a powerful affirmation as well as a radical transfiguration of Benjamin's theory of translation. They also shed light on the similarities and differences between the two thinkers' respective theories of translation, their philosophies of language, and the divergent traditions in which their thinking is embedded.",Art | Art history | History | Linguistics | Literature | Philosophy | Reading (process),https://openalex.org/W1974199737,6.0,,OpenAlex,15
10.1353/isl.2015.0015,The Ethics of the Perfect Man: Maurice Blanchot and Ibn Arabi,Hossein Moradi,,2015,2015-08-09,Journal of Shiʿite Islamic studies/Journal of Shi'a Islamic studies,,article,en,False,"For Maurice Blanchot, the ethical relationship is to be sought not in the developmental and self-reflexive movement of acquiring identity dialectically in the relationship between one entity and the other, but rather in the productive process of attaching and distancing. This makes a neutral relationship in which the human remains in between, in the back and forward movement exploring abyssally his/her own existential potentiality without being reduced into the social or the transcendental purpose. This argument corresponds with Ibn ͑Arabi’s ethics concerning the notion of the perfect man. The perfect man does not carry out perfection by acquiring all of God’s attributes but he/she becomes a neutral space, barzakh , within which God makes a relationship among His attributes through which entities are created. In this sense, the perfect man becomes the very relationship , the medium through which God presents Himself. Beyond the moral and mystical relationship in which the human is striving after God, the perfect man is simultaneously within and outside God.",Aesthetics | Argument (complex analysis) | Biochemistry | Chemistry | Coronavirus disease 2019 (COVID-19) | Disease | Distancing | Epistemology | Existentialism | Identity (music) | Immortality | Infectious disease (medical specialty) | Medicine | Mysticism | Pathology | Perfection | Philosophy | Reflexive pronoun | Theology | Transcendental number,https://openalex.org/W1085881102,2.0,,OpenAlex,15
10.1353/cul.2014.a559313,Totality and the Common: Henri Lefebvre and Maurice Blanchot on Everyday Life,Jen Hui Bon Hoa,,2014,2014-09-01,Cultural Critique,,article,en,False,"Totality and the CommonHenri Lefebvre and Maurice Blanchot on Everyday Life Jen Hui Bon Hoa (bio) The “everyday,” defined as that which escapes regimes of signi-fication and bureaucratic regulation, is often considered subversive because it disrupts totalizing narratives and calls forth new political practices and subject positions. Although Henri Lefebvre is generally cited as the principal theorist of everyday life, this particular definition is clearly modeled on Maurice Blanchot’s and, later, Michel de Certeau’s ideas—which, I seek to demonstrate, are fundamentally at odds with Lefebvre’s.1 A notion of the everyday as purely a source of ontological or epistemological instability can accommodate neither Lefebvre’s sociological critique of it, nor his vision for its transformation. The association of the everyday with resistance to representation nonetheless seems to derive from a partial reading of Lefebvre, who famously describes the everyday as an indeterminate “residue,” defined negatively by exclusion from special events and activities. In the neglected, second part of this definition, however, Lefebvre adds that the everyday thus constitutes a “common ground” that, in relating these specific experiences and practices to one another, enables us to conceive of lived reality as an organic whole (2008a, 97). This dialectic of residue and common ground underpins Lefebvre’s approach to everyday life. Lefebvre’s foregrounding of everyday life as a site of commonality speaks to a conception of critical theory as that which makes connections between disparate elements of social life and disciplinary approaches to its analysis, thus furthering the understanding of the social totality. Committed to a revolutionary political project, Lefebvre believes theory’s role is to orient individual practices in local contexts by mapping, as far as possible, the historical and global horizon of [End Page 54] political activity. While recent discussions of everyday life tend to offer one-dimensional attacks on the coercive nature of totalizing theories, Lefebvre’s approach first rebuts the opposition of totality and difference that condition such attacks and then draws attention to what is lost with an outright dismissal of the notion of totality. Understood dialectically, totality emerges not as a deterministic theory of history or society but as a heuristic that illuminates relationships between conditions and effects, personal experience and institutions. For Lefebvre, totality is a hermeneutic context that allows difference to become visible and meaningful, rather than one that suppresses difference in order to defend a teleology or unitary definition of society.2 From this definition of the common in terms of social totality arises a second set of ideas about the relationship between commonality and political practice. As is often forgotten, Lefebvre’s critique of everyday life is a critique specifically of the privatization of everyday life. In response to a perceived depoliticization during the prosperous post-war years, expressed by a general disengagement from the public sphere and loss of faith in collective action, Lefebvre identifies in the common ground of everyday life a possible source of solidarity. It is by producing a critical discourse of everyday life—by turning residual, untheorized everyday experience into communicable experience (Erlebnis into Erfahrung, to use Walter Benjamin’s terms)—that one can reframe ostensibly private and individual experiences in terms of a collective struggle. In this essay, I begin by examining the disjunctions between Lefebvre’s and Blanchot’s notions of everyday life, and show how the latter has dictated the terms of Lefebvre’s reception in Anglo-American scholarship. I then focus on the overlooked question of the common in Lefebvre’s theory of everyday life as a way of mediating between his approach and Blanchot’s. Whereas Blanchot is unequivocal in his rejection of totality, he echoes Lefebvre’s insistence on dismantling the idea of the self-identical, atomized subject and articulating a mode of collective existence. For both writers, this engagement with the question of the common anchors their claims to the political significance of the everyday. It is, however, a very different notion of the common and, consequently, of politics, that emerges from their two theories. By examining the idea of the common in Lefebvre’s critique of everyday life and in Blanchot’s reworking of it, I identify two models of political [End...",Aesthetics | Dialectic | Epistemology | Everyday life | Law | Linguistics | Narrative | Philosophy | Political science | Politics | Representation (politics) | Sociology,https://openalex.org/W4379805297,2.0,,OpenAlex,15
10.14394/eidos.jpc.2020.0019,"Testimony of Death: From Extermination Camps to Clinical Practice: A Discussion with Winnicott, Blanchot and Derrida",Dorothée Legrand,,2020,2020-08-12,Eidos A Journal for Philosophy of Culture,University of Warsaw,article,en,False,"Is there any witness to death? As detailed by Jacques Derrida, any testimony is detached from the direct perception of the event it reports. Thus, a testimony may report one's encounter with death, not only with the death of the other, but also with one's own death, even though it can never by experienced as such. In particular, reports from ""survivors"" ought to be taken un-metaphorically as they confront us with what Maurice Blanchot related as ""the encounter of death with death."" In line with such testimonies, Donald Woods Winnicott helps us here in considering an ""anterior death,"" a death that already happened without being experienced as such and which may haunt the subject until it remembers it. But how may one remember a past that has never been present? And how may one remember death without dying? In dialogue with Maurice Blanchot, we are guided toward a manner of considering silence as an oblivious remembrance of that which can be brought back from death.",Aesthetics | Computer science | Event (particle physics) | Library science | Linguistics | Philosophy | Physics | Psychoanalysis | Psychology | Quantum mechanics | Silence | Subject (documents) | Witness,https://openalex.org/W3076847642,4.0,,"Crossref, OpenAlex",14
10.1353/mln.2006.0011,"""Distrust of Poetry"": Levinas, Blanchot, Celan",Leslie Hill,,2005,2005-12-01,MLN,,article,en,False,"""Distrust of Poetry"":Levinas, Blanchot, Celan Leslie Hill I ""Aller Anfang ist schwer."" All beginnings are difficult. The beginning, as far as this paper is concerned, perhaps like all beginnings, was an unexpected encounter, an event, a chance moment when the author of these lines (not for the first time, but as though it were the first time) came across a brief sixteen-word fragment from Maurice Blanchot's Le Pas au-delà [The Step Not Beyond], a fragment that, in all senses of the word, appealed to him—and to me. That fragment is as follows: ◆ A hand outstretched, refused, which, in whatever manner, we would not be able to grasp. This dense yet incisive text, as I have sought to argue elsewhere, points in many different directions: towards philosophy (Heraclitus, Hegel, Heidegger, Bataille), towards politics (the events of May 1968 in Paris), and towards that writing that, perhaps ironically, but with enduring persistence, Blanchot continued till the end to address as literature or poetry.2 Under this last rubric, I want to suggest that what Blanchot's fragment also evokes, among others—discreetly, cryptically, ungraspably—is the writing of Paul Celan, that poet of undecidable nationality (Romanian by birth, German by language, French by adoption) whose outstretched hand, refusing itself or refused, at any [End Page 986] event not grasped, was extended for one last time perhaps on the evening of April 19, 1970, shortly before the poet's death by drowning—by his own hand—some three and a half years before the publi-cation of Le Pas au-delà.3 Celan's death, as convention demands, was an occasion both for mourning and for celebration alike. As such, it brought together in 1972, within the pages of a memorial issue of La Revue de Belles-Lettres, two lifelong friends, joined in their many differences and separated in their constant accord: Maurice Blanchot and Emmanuel Levinas, each of whom contributed an essay on Celan to the journal. ""De l'être à l'autre [From Being to the Other],"" Levinas titled his piece; ""Le Dernier à parler [The Last To Speak],"" Blanchot wrote alongside.4 These titles say much. They show that, in remembering Celan, both Blanchot and Levinas were endeavouring to respond, each in his own idiom, to an event—event without event, perhaps—affecting not only the possibility and impossibility of a singular existence, what Celan at one point calls ""a unique, mortal existence, who with both voice and silence seeks a path,""5 but also the possibility and impossibility of poetry itself, in other words: its future. Not as revelation, destiny, or truth, but as an encounter, announced, affirmed, and underwritten in the words of another. As we shall see, everything turns on this question of translation and citation. II Let me first hand over to Levinas, the elder by nearly two years. Levinas begins his tribute to Celan with a well-known quotation, taken from a letter to Hans Bender in May 1960, in which the poet explains his reasons for not contributing an essay on his own poems to the anthology Bender was preparing. ""Once the poem is really there [wirklich da],"" Celan argued, ""the poet is released from his original involvement in it.""6 Commentary, then, is not the prerogative of the poet. But in refusing to participate in Bender's project, Celan was not appealing to established assumptions about aesthetic autonomy. What his gesture betokened instead was more a kind of radical generosity. Poems, Celan explains later in the same letter, are also gifts, ""gifts to whoever is paying attention [Geschenke an die Aufmerksamen]."" ""I see no essential difference,"" he famously added, ""between a handshake and a poem [zwischen Händedruck und Gedicht].""7 [End Page 987] Citing these famous words, in French, at the beginning of his essay, Levinas goes on to offer the following commentary: With one stroke of the pen, the poem, the height of language, is reduced to the level of an interjection, a form of expression as inarticulate as a wink [un clin d'œil], a sign to one's neighbour! A sign of what? Of life [de vie]? Kindness [de bienveillance]? Or complicity? Or a sign of...",Art | Distrust | Epistemology | Event (particle physics) | Hegelianism | History | Law | Literature | Philosophy | Physics | Poetry | Political science | Quantum mechanics,https://openalex.org/W2075345145,12.0,,OpenAlex,14
10.1093/oxfordhb/9780190455934.013.3,"Levinas, Blanchot, and Art",Kevin Hart,Michael L. Morgan,2018,2018-02-05,The Oxford Handbook of Levinas,Oxford University Press,reference-entry,en,False,"This chapter explores several aspects of the friendship of Emmanuel Levinas and Maurice Blanchot. First, a brief narrative of their friendship is given. Second, their views on literature and art are explored, with particular attention given to Levinas’s essay “Reality and Its Shadow” and Blanchot’s essay “Two Versions of the Imaginary.” Third, Blanchot’s responses to Levinas’s ethics are discussed: first, the reservations about the program of Totality and Infinity as elaborated in The Infinite Conversation; and second, the appreciative fragments on Otherwise Than Being in The Writing of the Disaster. And fourth, the significance of Judaism for each thinker is evaluated.",Art | Conversation | Epistemology | Friendship | Judaism | Linguistics | Literature | Narrative | Philosophy | Psychoanalysis | Psychology | Shadow (psychology) | Social science | Sociology | The Imaginary | Theology,https://openalex.org/W2793922611,1.0,,"Crossref, OpenAlex",14
10.1386/ijfs.7.3.131/0,Bilingue l’obscur: Blanchot in the interstices of Abdelkebir Khatibi’s Amour bilingue,Anne Quinney,,2004,2004-11-01,International Journal of Francophone Studies,,article,en,False,"This study understands the textual resemblance between the 1941 novel Thomas l’obscur by Maurice Blanchot and the 1983 novel Amour bilingue by Abdelkebir Khatibi to be more than coincidental, and is instead a calculated, strategic rewriting on the part of Khatibi. This analysis targets the reasons behind Khatibi’s appropriation of Blanchot, suggesting that the obvious textual borrowing ultimately works to advance Khatibi’s project of the ‘double critique’. An examination of Khatibi’s theoretical strategies as a politically committed writer reveal his aim to articulate the multifarious nature of Maghreb identity freed from the unitary and universalizing notions of national and cultural identity inherent in Western metaphysics and Arab-Islamic culture. These well-studied strategies structure his novel, Amour bilingue, although it is Blanchot’s significant influence on the novel that has eluded critics in the past. The implications of this act of textual appropriation challenge the ideas we have about originality and creation while they also raise questions about the liberties to which politically committed literature lays claim.",Aesthetics | Anthropology | Appropriation | Art | Biology | Deconstruction (building) | Ecology | Epistemology | Identity (music) | Law | Linguistics | Literature | Metaphysics | Originality | Philosophy | Political science | Qualitative research | Sociology | Unitary state,https://openalex.org/W1997945065,2.0,,OpenAlex,14
10.1080/13534641003634606,Blanchot and the End of Nature,Timothy Clark,,2010,2010-04-08,Parallax,,article,en,False,"Click to increase image sizeClick to decrease image size Notes 1 Maurice Blanchot, The Step Not Beyond, trans. Lycette Nelson (Albany, SUNY Press, 1992), p.19. 2 See John M. Meyer, Political Nature: Environmentalism and the Interpretation of Western Thought (Cambridge, Mass.: MIT Press, 2001) on the recurrent fallacy that politics is derivative from nature (p.15). Greens are now frequently criticized for using references to 'ecology' to serve the age-old fallacy of using appeals to nature to mask what are essentially contentious political judgments. The now discredited notion that the 'ecological' itself necessarily represents a principle of balance, harmony, diversity and interconnection, etc. has been especially hard to dispel. Even the relatively sophisticated green anarchism of Murray Bookchin bases itself on the 'ecological' in that sense, with its idealization of a wild, unaltered ecosystem as inherently 'libertarian', that is 'an image of unity in diversity, spontaneity and complementary relationships, free of all hierarchy and domination' (The Ecology of Freedom: The Emergence and Dissolution of Hierarchy 1982 (Edinburgh: AK Press, 2005), p.453). An 'organic' human society for Bookchin would thus be one in supposed harmony with nature as a space of 'symbiosis and mutualism', p.460. This essay is not, it should be needless to say, an attack on environmental thinking per se, but it tries to contribute to the necessary task of ridding it of elements of intellectual anachronism. 3 See his Ecology without Nature (Cambridge Mass.: Harvard UP, 2008). 4 Maurice Blanchot, The Infinite Conversation, trans. Susan Hanson. (Minneapolis: Minnesota University Press, 1993), p.126. 5 Maurice Blanchot, The Step Not Beyond, p.2. 6 Maurice Blanchot, The Infinite Conversation, pp.6–8. 7 Leslie Hill, 'Affirmation without Precedent: Maurice Blanchot and Criticism Today', in After Blanchot: Literature, Criticism, Philosophy, ed. Leslie hill, Brain Nelson & Dimitris Vardoulakis (Newark: University of Delaware Press, 2005), pp.58–79, 76. 8 Ted Toadvine, 'The Primacy of Desire and its Ecological Consequences', in Eco-Phenomenology: Back To the Earth Itself, ed. Charles S. Brown and Ted Toadvine (Albany: SUNY Press, 2003), pp.139–54. 9 Ted Toadvine, 'The Primacy of Desire and its Ecological Consequences', p.149. 10 Maurice Blanchot, The Infinite Conversation, p.38. 11 Maurice Blanchot, The Infinite Conversation, p.48. 12 Maurice Blanchot, The Infinite Conversation, p.47. 13 Lawrence Buell, The Environmental Imagination: Thoreau, Nature Writing, and the Formation of American Culture (Cambridge Mass.: Harvard University Press, 1995), p.86. 14 Jonathan Bate, The Song of the Earth (London: Picador, 2000), p.64. 15 Dana Phillips, The Truth of Ecology: Nature, Culture, and Literature in America (Oxford: Oxford University Press, 2003), p.161. 16 Sylvia Bowerbank, Speaking for Nature: Women and Ecologies of Early Modern England (Baltimore: Johns Hopkins, 2004); Alice Jenkins, 'Alexander von Humboldt's Kosmos and the Beginnings of Ecocriticism', ISLE 14:2 (Summer 2007), pp.89–105; Angela Wilde, 'Challenging the Confines: Haiku from the Prison Camps', in Coming into Contact: Explorations in Ecocritical Theory and Practice, ed. Annie Merril Ingram et al (Athens: University of Georgia Press, 2007), pp.39–57. 17 Kevin Hart, The Dark Gaze: Maurice Blanchot and the Sacred (Chicago, University of Chicago Press, 2004), p.160. 18 Jonathan Bate, The Song of the Earth, pp.102–110. 19 Maurice Blanchot, 'Encountering the Imaginary', in The Book to Come [1959], trans. Charlotte Mandell (Stanford: Stanford University Press, 2003), pp.3–10. This paper confines itself to arguments of Blanchot's on the literary and the image. A sister article also takes up Blanchot's rapprochement with Levinas on the human relation as one of 'impossibility', seeing it as a questionable kind of anthropocentrism ('A Green Blanchot: Impossible?', Paragraph 30:3 (2007), pp.121–40. 20 Jonathan Bate, The Song of the Earth, pp.105. 21 Season of mists and mellow fruitfulness, Close bosom-friend of the maturing sun; Conspiring with him how to load and bless With fruit the vines that round the thatch-eves run; To bend with apples the moss'd cottage-trees, And fill all fruit with ripeness to the core; To swell the gourd, and plump the hazel shells With a sweet kernel; to set budding more, And still more, later flowers for the bees, Until they think warm days will never cease, For summer has o'er-brimm'd their clammy cells. Who hath not seen thee oft amid thy store? Sometimes whoever seeks abroad may find Thee sitting careless on a granary floor, Thy hair soft-lifted by the winnowing wind; Or on a half-reap'd furrow sound asleep, Drows'd with the fume of poppies, while thy hook Spares the next swath and all its twined flowers: And sometimes like a gleaner thou dost keep Steady thy laden head across a brook; Or by a cyder-press, with patient look, Thou watchest the last oozings hours by hours. Where are the songs of spring? Ay, where are they? Think not of them, thou hast thy music too,- While barred clouds bloom the soft-dying day, And touch the stubble-plains with rosy hue; Then in a wailful choir the small gnats mourn Among the river sallows, borne aloft Or sinking as the light wind lives or dies; And full-grown lambs loud bleat from hilly bourn; Hedge-crickets sing; and now with treble soft The red-breast whistles from a garden-croft; And gathering swallows twitter in the skies. The Poems of John Keats, ed. Jack Stillinger (London: Heinemann, 1978), p.249. 22 Jonathan Bate, The Song of the Earth, pp.107. 23 Jonathan Bate, The Song of the Earth, pp.109. 24 See Timothy Morton, Ecology without Nature, pp.197–205. 25 Maurice Blanchot, The Writing of the Disaster [1980], trans. Ann Smock (Lincoln: University of Nebraska Press, 1986), p.71. 26 Maurice Blanchot, The Space of Literature, trans. Ann Smock (Lincoln: University of Nebraska Press, 1982), p.240. 27 Andrew Bowie, Aesthetics and Subjectivity from Kant to Nietzsche (Manchester: Manchester University Press, 1990), p.44. 28 Maurice Blanchot, Lautréamont et Sade (Paris: Éditions de Minuit, 1949, revised edition, 1963). Translation from Kevin Hart, The Dark Gaze, p.138. 29 Maurice Blanchot, Infinite Conversation, p.9. 30 Maurice Blanchot, Infinite Conversation, p.10. 31 Maurice Blanchot, The Space of Literature, p.24 32 Jean Pfeiffer, 'La passion de l'imaginaire', Critique, 229 (1966), pp.571–578, 577. 33 Maurice Blanchot, The Book to Come, pp.7–8. 34 Maurice Blanchot, The Book to Come, pp.9–10. 35 Maurice Blanchot, The Space of Literature, pp.254–63. 36 Maurice Blanchot, Infinite Conversation, p.321. 37 Maurice Blanchot, Infinite Conversation, p.321. 38 Maurice Blanchot, Infinite Conversation, p.322. 39 Maurice Blanchot, The Book to Come, p.33. 40 Maurice Blanchot, The Space of Literature, p.244. 41 Maurice Blanchot, Infinite Conversation, p.320. 42 Hannah Arendt, The Human Condition (Chicago: University of Chicago Press, 1958), p.178. 43 Maurice Blanchot, Infinite Conversation, p.10. 44 Maurice Blanchot, The Book to Come, p.11. 45 Maurice Blanchot, 'The Two Versions of the Imaginary', The Space of Literature, p.256. 46 Maurice Blanchot, 'The Two Versions of the Imaginary', The Space of Literature, p.180. 47 Maurice Blanchot, Infinite Conversation, p.149. 48 Maurice Blanchot, Infinite Conversation, p.16. 49 Martin Heidegger, The Principle of Reason, trans. Reginald Lily (Indiana: Indiana University Press, 1991), p.41.",Philosophy,https://openalex.org/W2034950691,1.0,,OpenAlex,14
10.3390/rel4030336,"Faith in the Ghosts of Literature. Poetic Hauntology in Derrida, Blanchot and Morrison’s Beloved",Elisabeth Marie Loevlie,,2013,2013-07-04,Religions,,article,en,False,"Literature, this paper argues, is a privileged language that can give form to those specters of existence that resist the traditional ontological boundaries of being and non-being, alive and dead. This I describe as the “hauntology” of literature. Literature, unlike our everyday, referential language, is not obliged to refer to a determinable reality, or to sustain meaning. It can therefore be viewed as a negation of the world of things and sensible phenomena. Yet it gives us access to vivid and sensory rich worlds. The status of this literary world, then, is strangely in-between; its ontology is not present and fixed, but rather quivering or ghostlike. The “I” that speaks in a literary text never coincides with the “I” of the writing subject, rather they haunt each other. This theoretical understanding is based on texts by Jacques Derrida and Maurice Blanchot. The paper also draws an analogy between this spectral dynamic of literature and an understanding of religious faith or belief. Belief relates to that which cannot be ontologically fixed or verified, be it God, angels, or spirits. Literature, because it releases and sustains this ontological quivering, can transmit the ineffable, the repressed and transcendent. With this starting point, I turn to Toni Morrison’s book Beloved (1987) and to Beloved’s strange, spectral monologue. By giving literary voice to the dead, Morrison releases literature’s hauntology to express the horror that history books cannot convey, and that our memory struggles to contain.",Analogy | Art | Computer science | Epistemology | Faith | History of literature | Library science | Linguistics | Literature | Meaning (existential) | Negation | Ontology | Philosophy | Poetry | Subject (documents),https://openalex.org/W2165192391,46.0,,OpenAlex,14
10.2979/jmodelite.44.3.06,Blanchot in Infinite Conversation(s) with Beckett,Arleen Ionescu,,2021,2021-01-01,Journal of Modern Literature,Indiana University Press,article,en,False,"In a short text entitled ""Oh All to End,"" the preface to the 1990 issue of Critique commemorating Samuel Beckett, Maurice Blanchot claimed that Beckett was prepared to recognize himself in a passage from Awaiting Oblivion. Carrying on thoroughly exploring this assertion, I examine the polyphonic dialogue between Blanchot and Beckett, from the way in which Beckett approached Blanchot's work to Blanchot's engagement with the Beckettian intertext and analyzing Awaiting Oblivion and The Infinite Conversation from the perspective of the Neuter. If, on the one hand, Awaiting Oblivion mirrors Waiting for Godot not only thematically, but also in the way the nothing itself acts as a foil, then on the other hand, Blanchot's text poetically mirrors several of Beckett's fragments from How It Is and Texts for Nothing that Blanchot blends in his prose. Beckett's voice is ""ill-heard,"" ""ill-murmured,"" ""ill-recorded"" in The Infinite Conversation where Blanchot, similarly to Krapp, rewinds Beckett's last tape, yet never reveals its end to us.",Art | Assertion | Computer science | Conversation | Epistemology | Linguistics | Literature | Nothing | Perspective (graphical) | Philosophy | Polyphony | Programming language | Visual arts,https://openalex.org/W3178066739,3.0,,"Crossref, OpenAlex",14
10.5040/9781472544018,"The Disappearance of Literature : Blanchot, Agamben, and the Writers of the No",Aaron Hillyer,,2013,2013-01-01,Bloomsbury Academic eBooks,Bloomsbury Academic,book,en,False,"Aaron Hillyer considers the fate and implications of Maurice Blanchot's enigmatic formulation of literature's future: &Literature is heading to its essence, which is its disappearance.& The Disappearance of Literature's primary theoretical objective is to highlight a previously neglected difference between Blanchot's and Agamben's philosophies. These philosophical and literary arguments proceed by examining a series of related concepts: study, sexuality, language, mysticism, and friendship. Despite the fact that Blanchot and Agamben often serve today as primary points of reference for literary theory, no significant critical work has yet examined their works in a sustained dialogue. Hillyer initiates this new trajectory of research through readings of Blanchot's The Unavowable Community and Agamben's The Open, which are followed by encounters with books by contemporary writers Vila-Matas, Aira, and Carson. The juxtaposition of these two different forms of writing (philosophy as literature and literature as philosophy) shows that the new kind of writing analyzed",Art | Epistemology | Friendship | Literature | Metaphysics | Mysticism | Philosophy | Philosophy and literature | Reflexive pronoun | Social science | Sociology | Theology,https://openalex.org/W586998499,9.0,,"Crossref, OpenAlex",14
,Emmanuel Levinas Maurice Blanchot : penser la différence,Éric Hoppenot | Alain Milon,,2007,,,,OUV,,,,,,,,HAL,12
